Date,Value
201501,30
201502,24.1
201503,38.1
201504,54.3
201505,68.5
201506,71.2
201507,78.8
201508,79
201509,74.4
201510,58.1
201511,52.8
201512,50.8
201601,34.5
201602,37.8
201603,48.9
201604,53.3
201605,62.8
201606,72.2
201607,78.7
201608,79.2
201609,71.8
201610,58.8
201611,49.8
201612,38.4
201701,38.1
201702,41.7
201703,39.2
201704,57.1
201705,61.1
201706,72
201707,76.8
201708,74
201709,70.5
201710,64.1
201711,46.7
201712,35.1
201801,31.8
201802,42.1
201803,40.2
201804,49.5
201805,66.9
201806,71.7
201807,77.6
201808,78.1
201809,70.7
201810,57.7
201811,44.4
201812,40.2
201901,32.6
201902,36.3
201903,41.8
201904,55.5
201905,62.2
201906,71.7
201907,79.6
201908,75.5
201909,70.4
201910,59.9
201911,43.9
201912,38.4
202001,39.2
202002,40.2
202003,48
202004,50.3
202005,60.3
202006,73.7
202007,80
202008,76.9
202009,68.8
202010,57.9
202011,53
202012,39.3
202101,34.8
202102,34.2
202103,45.9
202104,54.6
202105,62.9
202106,74.3
202107,76
202108,77.6
202109,70.3
202110,62
202111,46.3
202112,43.8
202201,30.4
202202,37.4
202203,45.3
202204,52.8
202205,64
202206,71.4
202207,79.6
202208,79.3
202209,69.5
202210,56.9
202211,50.9
202212,38.5
202301,43.5
202302,41.1
202303,44.7
202304,57.6
202305,62.7
202306,70
202307,79.1
202308,75
202309,69.4
202310,60.5
202311,46.7
202312,44.6
202401,37
202402,40.1
202403,48.2
202404,55.6
202405,65
202406,75
202407,79.6
202408,75.1
202409,68.8
202410,60.9
202411,51.4
202412,38.3
202501,31.3
202502,35.1
202503,46.9
202504,55.3
202505,62.3
202506,73.2
202507,79.5
202508,73.8
202509,70.6
202510,58.5
