Date,"Formula One"
2015-07-01,3444
2015-07-02,3698
2015-07-03,3674
2015-07-04,5420
2015-07-05,10505
2015-07-06,5608
2015-07-07,3854
2015-07-08,3316
2015-07-09,3022
2015-07-10,3181
2015-07-11,2936
2015-07-12,3431
2015-07-13,3300
2015-07-14,3236
2015-07-15,2749
2015-07-16,2564
2015-07-17,2653
2015-07-18,8928
2015-07-19,7175
2015-07-20,6900
2015-07-21,5789
2015-07-22,5216
2015-07-23,4660
2015-07-24,5134
2015-07-25,6587
2015-07-26,12175
2015-07-27,7034
2015-07-28,3832
2015-07-29,3527
2015-07-30,3098
2015-07-31,3230
2015-08-01,2818
2015-08-02,3146
2015-08-03,2770
2015-08-04,2784
2015-08-05,2607
2015-08-06,2474
2015-08-07,2779
2015-08-08,2620
2015-08-09,2830
2015-08-10,2722
2015-08-11,2628
2015-08-12,2612
2015-08-13,2555
2015-08-14,2486
2015-08-15,2329
2015-08-16,2717
2015-08-17,2854
2015-08-18,2618
2015-08-19,2701
2015-08-20,2917
2015-08-21,3355
2015-08-22,4460
2015-08-23,7860
2015-08-24,5078
2015-08-25,4519
2015-08-26,3220
2015-08-27,2989
2015-08-28,2664
2015-08-29,2522
2015-08-30,3057
2015-08-31,3067
2015-09-01,2634
2015-09-02,2664
2015-09-03,2773
2015-09-04,3111
2015-09-05,4300
2015-09-06,8793
2015-09-07,5342
2015-09-08,4121
2015-09-09,5437
2015-09-10,5553
2015-09-11,5099
2015-09-12,4908
2015-09-13,5268
2015-09-14,5087
2015-09-15,5024
2015-09-16,3391
2015-09-17,3227
2015-09-18,3812
2015-09-19,5062
2015-09-20,11207
2015-09-21,6369
2015-09-22,4121
2015-09-23,3515
2015-09-24,3337
2015-09-25,3487
2015-09-26,4187
2015-09-27,8643
2015-09-28,5017
2015-09-29,4065
2015-09-30,3559
2015-10-01,3333
2015-10-02,2959
2015-10-03,2815
2015-10-04,3053
2015-10-05,3029
2015-10-06,3399
2015-10-07,3531
2015-10-08,3121
2015-10-09,3207
2015-10-10,4462
2015-10-11,9501
2015-10-12,5676
2015-10-13,3951
2015-10-14,3622
2015-10-15,3231
2015-10-16,3071
2015-10-17,3007
2015-10-18,3197
2015-10-19,3109
2015-10-20,3069
2015-10-21,3123
2015-10-22,3064
2015-10-23,3687
2015-10-24,4620
2015-10-25,11515
2015-10-26,12503
2015-10-27,6674
2015-10-28,5127
2015-10-29,4739
2015-10-30,4829
2015-10-31,5326
2015-11-01,9268
2015-11-02,6132
2015-11-03,3919
2015-11-04,3994
2015-11-05,5905
2015-11-06,3379
2015-11-07,2934
2015-11-08,3736
2015-11-09,10664
