Date,2015 Formula One World Championship,2016 Formula One World Championship,2017 Formula One World Championship,2018 Formula One World Championship,2019 Formula One World Championship,2021 Formula One World Championship,2020 Formula One World Championship,2022 Formula One World Championship,2023 Formula One World Championship,2024 Formula One World Championship,2025 Formula One World Championship
2015-07-01,3364,946,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-02,3594,1077,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-03,4453,1178,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-04,7602,1246,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-05,22688,2323,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-06,10988,1893,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-07,5713,1377,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-08,4404,1315,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-09,4370,1233,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-10,5399,1745,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-11,4583,2941,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-12,4731,1965,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-13,4845,1765,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-14,3941,1666,18,NA,NA,NA,NA,NA,NA,NA,0
2015-07-15,3658,1555,4,NA,NA,NA,NA,NA,NA,NA,0
2015-07-16,3914,1714,9,NA,NA,NA,NA,NA,NA,NA,0
2015-07-17,4245,2277,4,NA,NA,NA,NA,NA,NA,NA,0
2015-07-18,7677,2534,2,NA,NA,NA,NA,NA,NA,NA,0
2015-07-19,5832,2042,3,NA,NA,NA,NA,NA,NA,NA,0
2015-07-20,4941,2021,6,NA,NA,NA,NA,NA,NA,NA,0
2015-07-21,4515,1825,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-07-22,4290,1765,3,NA,NA,NA,NA,NA,NA,NA,0
2015-07-23,4880,2576,9,NA,NA,NA,NA,NA,NA,NA,0
2015-07-24,5515,2665,666,NA,NA,NA,NA,NA,NA,NA,0
2015-07-25,8405,2811,780,NA,NA,NA,NA,NA,NA,NA,0
2015-07-26,33439,4347,718,NA,NA,NA,NA,NA,NA,NA,0
2015-07-27,15575,3200,573,NA,NA,NA,NA,NA,NA,NA,0
2015-07-28,7531,2367,474,NA,NA,NA,NA,NA,NA,NA,0
2015-07-29,5150,2083,501,2,NA,NA,NA,NA,NA,NA,0
2015-07-30,4729,1880,579,NA,NA,NA,NA,NA,NA,NA,0
2015-07-31,4181,1847,606,1,NA,NA,NA,24,NA,NA,0
2015-08-01,3775,1723,522,NA,NA,NA,NA,10,NA,NA,0
2015-08-02,4072,1868,595,233,NA,NA,NA,14,NA,NA,0
2015-08-03,3626,1768,492,189,NA,NA,NA,NA,NA,NA,0
2015-08-04,3504,1766,497,152,1,NA,NA,NA,NA,NA,0
2015-08-05,3430,1709,538,144,NA,NA,NA,NA,NA,NA,0
2015-08-06,3269,1644,458,173,NA,NA,NA,NA,NA,NA,0
2015-08-07,3246,1728,398,150,NA,NA,NA,NA,NA,NA,0
2015-08-08,3034,1492,389,126,NA,NA,NA,NA,NA,NA,0
2015-08-09,3494,1639,391,128,NA,NA,NA,NA,NA,NA,0
2015-08-10,3264,1644,454,127,NA,NA,NA,NA,NA,NA,0
2015-08-11,3237,1475,384,119,NA,NA,NA,NA,NA,NA,0
2015-08-12,3104,1404,366,124,NA,NA,NA,NA,NA,NA,0
2015-08-13,3071,1515,395,135,NA,NA,NA,NA,NA,NA,0
2015-08-14,3140,1691,411,149,NA,NA,NA,NA,NA,NA,0
2015-08-15,3062,1655,388,129,NA,NA,NA,NA,NA,NA,0
2015-08-16,3693,1724,405,132,NA,NA,NA,NA,NA,NA,0
2015-08-17,3556,1640,379,131,NA,NA,NA,NA,NA,NA,0
2015-08-18,3587,1675,415,134,NA,NA,NA,NA,NA,NA,0
2015-08-19,4174,3085,644,243,NA,NA,NA,NA,NA,NA,0
2015-08-20,4248,2542,609,179,NA,NA,NA,NA,NA,NA,0
2015-08-21,4769,2152,461,128,NA,NA,NA,NA,NA,NA,0
2015-08-22,7577,2314,539,146,NA,NA,NA,10,NA,NA,0
2015-08-23,21326,3560,869,263,NA,NA,NA,NA,NA,NA,0
2015-08-24,11227,2552,630,193,NA,NA,NA,NA,NA,NA,0
2015-08-25,6072,2165,564,149,NA,NA,NA,NA,NA,NA,0
2015-08-26,4475,1773,433,100,NA,NA,NA,NA,NA,NA,0
2015-08-27,3883,1730,428,121,NA,NA,NA,NA,NA,NA,0
2015-08-28,3686,1885,431,131,NA,NA,NA,NA,NA,NA,0
2015-08-29,3536,1766,466,142,NA,NA,NA,NA,NA,NA,0
2015-08-30,4078,1864,462,125,NA,NA,NA,NA,NA,NA,0
2015-08-31,4027,2036,516,150,NA,NA,NA,NA,NA,NA,0
2015-09-01,3857,2739,731,195,NA,NA,NA,NA,NA,NA,0
2015-09-02,3623,2114,497,132,NA,NA,NA,NA,NA,NA,0
2015-09-03,4098,3122,666,201,NA,NA,NA,NA,NA,NA,0
