age,education,black,hispanic,married,nodegree,re74,re75,re78
45,11,0,0,1,1,21516.669921875,25243.55078125,25564.669921875
21,14,0,0,0,0,3175.970947265625,5852.56494140625,13496.080078125
38,12,0,0,1,0,23039.01953125,25130.759765625,25564.669921875
48,6,0,0,1,1,24994.369140625,25243.55078125,25564.669921875
18,8,0,0,1,1,1669.2950439453125,10727.6103515625,9860.869140625
22,11,0,0,1,1,16365.759765625,18449.26953125,25564.669921875
48,10,0,0,1,1,16804.630859375,16354.599609375,18059.30078125
18,11,0,0,0,1,1144.2120361328125,3620.031982421875,15739.26953125
48,9,0,0,1,1,25862.3203125,25243.55078125,25564.669921875
45,12,0,0,1,0,25862.3203125,0,3924.842041015625
34,14,0,0,1,0,25862.3203125,23746.83984375,25564.669921875
16,10,0,0,0,1,1026.656005859375,1224.5810546875,6847.78515625
53,10,0,0,1,1,25862.3203125,25243.55078125,25564.669921875
19,12,0,0,0,0,867.9552001953125,4386.2900390625,8777.6962890625
27,12,0,0,1,0,25862.3203125,19047.240234375,19214.880859375
32,10,0,0,1,1,20427.3203125,23374.44921875,9179.63671875
27,12,0,0,1,0,20983.75,14822.080078125,25564.669921875
46,7,0,0,1,1,19171.4296875,1317.677001953125,0
24,13,0,0,0,0,20830.919921875,25243.55078125,23903.7109375
22,13,0,0,0,0,11036.5498046875,10351.650390625,6556.6728515625
49,10,0,0,1,1,391.8533935546875,0,0
17,10,0,0,0,1,0,0,4755.32421875
29,14,0,0,1,0,21499.029296875,22586.7109375,20923.130859375
28,16,0,0,1,0,16500.94921875,0,10267.240234375
46,12,0,0,1,0,24814.109375,24967.83984375,19339.009765625
26,17,1,0,1,0,0,0,4753.84619140625
49,12,0,0,0,0,25862.3203125,25243.55078125,25564.669921875
51,10,0,0,1,1,25862.3203125,25243.55078125,25564.669921875
51,10,0,0,1,1,22923.419921875,21725.560546875,10348.51953125
27,11,0,0,1,1,17022.109375,18123.439453125,18490.7890625
23,13,0,0,0,0,19098.9296875,21014.810546875,0
27,10,0,0,1,1,7952.6640625,9755.4677734375,13105.9599609375
38,10,0,0,1,1,25862.3203125,25243.55078125,25564.669921875
32,8,0,0,0,1,7186.5908203125,6149.7578125,8414.1748046875
34,14,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
26,18,0,0,1,0,20971.990234375,21883.109375,25564.669921875
21,13,0,0,0,0,8638.4072265625,8176.40283203125,6753.2099609375
39,8,0,1,0,1,13499.349609375,16383.240234375,16461.869140625
17,8,1,0,0,1,0,451.1612854003906,0
22,11,0,1,1,1,17466.859375,17779.689453125,14438.8701171875
21,12,0,1,0,0,0,0,0
44,9,0,1,1,1,15390.0400390625,14886.5302734375,12634.5595703125
26,10,0,1,1,1,17125.94921875,17446.689453125,13518.240234375
54,4,0,1,1,1,13350.4404296875,13180.349609375,13741.3798828125
42,12,0,1,1,0,21663.609375,22013.810546875,19941.919921875
25,12,0,0,0,0,8105.48681640625,11869.83984375,6170.98583984375
20,13,0,0,0,0,317.4012145996094,214.8386993408203,0
44,11,0,0,1,1,25862.3203125,25243.55078125,25564.669921875
