pollster,pollster_rating_538,start_date,end_date,date,sample_size,pct_harris,pct_trump
Research Co.,-0.5,2024-11-02,2024-11-03,2024-11-03,1003,48,46
TIPP,-0.4,2024-11-01,2024-11-03,2024-11-03,1411,48.3,48.8
Leger,0,2024-10-31,2024-11-03,2024-11-03,886,49.4,48.5
AtlasIntel,-0.8,2024-11-01,2024-11-02,2024-11-02,2463,48.3,49.8
TIPP,-0.4,2024-10-31,2024-11-02,2024-11-02,1305,48,49
Emerson,-1.1,2024-10-30,2024-11-02,2024-11-02,1000,49.4,49.2
Hart/POS,-0.7,2024-10-30,2024-11-02,2024-11-02,1000,49,49
TIPP,-0.4,2024-10-30,2024-11-01,2024-11-01,NA,48.1,48.2
Ipsos,-0.9,2024-10-29,2024-11-01,2024-11-01,3140,49,46
Ipsos,-0.9,2024-10-29,2024-11-01,2024-11-01,2735,49,46
Ipsos,-0.9,2024-10-29,2024-11-01,2024-11-01,2267,49,46
Kaplan Strategies,-0.9,2024-10-31,2024-10-31,2024-10-31,671,47,48
AtlasIntel,-0.8,2024-10-30,2024-10-31,2024-10-31,3490,48.2,49.6
TIPP,-0.4,2024-10-29,2024-10-31,2024-10-31,1249,48,49
Morning Consult,-0.3,2024-10-29,2024-10-31,2024-10-31,8918,49,47
YouGov,-1.1,2024-10-29,2024-10-31,2024-10-31,1267,48,48
YouGov,-1.1,2024-10-29,2024-10-31,2024-10-31,1152,49,48
Echelon Insights,-0.8,2024-10-28,2024-10-31,2024-10-31,1328,50,48
TIPP,-0.4,2024-10-28,2024-10-30,2024-10-30,1265,48,48
Morning Consult,-0.3,2024-10-28,2024-10-30,2024-10-30,8868,50,47
TIPP,-0.4,2024-10-27,2024-10-29,2024-10-29,1302,48.3,47.5
HarrisX,-0.1,2024-10-27,2024-10-29,2024-10-29,4523,51,49
HarrisX,-0.1,2024-10-27,2024-10-29,2024-10-29,3718,51,49
Morning Consult,-0.3,2024-10-27,2024-10-29,2024-10-29,8999,50,47
YouGov,-1.1,2024-10-26,2024-10-29,2024-10-29,1446,47,46
YouGov,-1.1,2024-10-26,2024-10-29,2024-10-29,1310,49,47
AtlasIntel,-0.8,2024-10-25,2024-10-29,2024-10-29,3032,48.1,49.8
TIPP,-0.4,2024-10-26,2024-10-28,2024-10-28,1291,48,47
