date,price
1989-01-01,128
1989-02-01,128.6
1989-03-01,128.8
1989-04-01,129.7
1989-05-01,130.5
1989-06-01,132
1989-07-01,133
1989-08-01,133.8
1989-09-01,134.1
1989-10-01,134.8
1989-11-01,134.4
1989-12-01,133.1
1990-01-01,134.8
1990-02-01,138.2
1990-03-01,141
1990-04-01,144.1
1990-05-01,145.9
1990-06-01,147.9
1990-07-01,148.8
1990-08-01,149.9
1990-09-01,152.8
1990-10-01,156.6
1990-11-01,159.3
1990-12-01,162.8
1991-01-01,163.2
1991-02-01,164.5
1991-03-01,159.4
1991-04-01,151.9
1991-05-01,151.6
1991-06-01,153.9
1991-07-01,153.8
1991-08-01,155.8
1991-09-01,153.3
1991-10-01,150.2
1991-11-01,150.6
1991-12-01,153.1
1992-01-01,156
1992-02-01,154.7
1992-03-01,158.8
1992-04-01,160.7
1992-05-01,155.5
1992-06-01,145.4
1992-07-01,150.1
1992-08-01,147.8
1992-09-01,146.1
1992-10-01,157.6
1992-11-01,164.5
1992-12-01,165.7
1993-01-01,170.7
1993-02-01,174.4
1993-03-01,173.4
1993-04-01,172.1
1993-05-01,176.3
1993-06-01,174.7
1993-07-01,179.6
1993-08-01,179.8
1993-09-01,180.8
1993-10-01,180.8
1993-11-01,188.3
1993-12-01,193.8
1994-01-01,191.5
1994-02-01,191.8
1994-03-01,195.5
1994-04-01,192.3
1994-05-01,182.1
1994-06-01,182.3
1994-07-01,184.7
1994-08-01,187.4
1994-09-01,185.2
1994-10-01,179.9
1994-11-01,177.8
1994-12-01,175.3
1995-01-01,179.5
1995-02-01,181.4
1995-03-01,188.5
1995-04-01,191.2
1995-05-01,191.2
1995-06-01,200.4
1995-07-01,199.2
1995-08-01,191.6
1995-09-01,189.7
1995-10-01,193.7
1995-11-01,191.5
1995-12-01,178.4
1996-01-01,179.4
1996-02-01,188.4
1996-03-01,187.9
1996-04-01,187.7
1996-05-01,189.2
1996-06-01,192.1
1996-07-01,192.9
1996-08-01,190.9
1996-09-01,196
1996-10-01,200.1
1996-11-01,200.1
1996-12-01,204.7
1997-01-01,198.1
1997-02-01,192.9
1997-03-01,201.6
1997-04-01,204.1
1997-05-01,201.5
1997-06-01,199.1
1997-07-01,203.6
1997-08-01,194
1997-09-01,198
1997-10-01,205.5
1997-11-01,197.5
1997-12-01,194.8
1998-01-01,200.1
1998-02-01,206.6
1998-03-01,210.7
1998-04-01,210.1
1998-05-01,205
1998-06-01,200.9
1998-07-01,207.3
1998-08-01,207.8
1998-09-01,206
1998-10-01,205.2
1998-11-01,200.8
1998-12-01,202.8
1999-01-01,206.4
1999-02-01,211.4
1999-03-01,221.3
1999-04-01,225.8
1999-05-01,220.2
1999-06-01,209.7
1999-07-01,223.3
1999-08-01,217.2
1999-09-01,213.6
1999-10-01,224.9
1999-11-01,226.4
1999-12-01,224.9
2000-01-01,221.8
2000-02-01,230.2
2000-03-01,240.7
2000-04-01,239.5
2000-05-01,241.3
2000-06-01,245
2000-07-01,246.8
2000-08-01,250.4
2000-09-01,244.9
2000-10-01,236.3
2000-11-01,238
2000-12-01,238.2
2001-01-01,239
2001-02-01,242
2001-03-01,238.6
2001-04-01,235.5
2001-05-01,237.5
2001-06-01,249.3
2001-07-01,248.8
2001-08-01,244.3
2001-09-01,242.5
2001-10-01,236.4
2001-11-01,230
2001-12-01,229
2002-01-01,236.7
2002-02-01,235.3
2002-03-01,233.3
2002-04-01,234.5
2002-05-01,237.7
2002-06-01,231.3
2002-07-01,227.5
2002-08-01,230.2
2002-09-01,228.7
2002-10-01,225.7
2002-11-01,227.8
2002-12-01,230
2003-01-01,228.7
2003-02-01,228.5
2003-03-01,230.7
2003-04-01,229.4
2003-05-01,230
2003-06-01,231.3
2003-07-01,232.6
2003-08-01,233.4
2003-09-01,233.2
2003-10-01,234.3
2003-11-01,232.5
2003-12-01,230.4
2004-01-01,232.5
2004-02-01,232.4
2004-03-01,231.7
2004-04-01,230.8
2004-05-01,227.2
2004-06-01,224.9
2004-07-01,223.5
2004-08-01,220.4
2004-09-01,220.7
2004-10-01,223.8
2004-11-01,230.9
2004-12-01,227.9
2005-01-01,224.9
2005-02-01,225
2005-03-01,228.6
2005-04-01,233.9
2005-05-01,236.9
2005-06-01,237.9
2005-07-01,239.7
2005-08-01,240
2005-09-01,240.9
2005-10-01,243.9
2005-11-01,244.5
2005-12-01,242
2006-01-01,244.6
2006-02-01,244.4
2006-03-01,244.7
2006-04-01,245.7
2006-05-01,250.1
2006-06-01,251.5
2006-07-01,252.9
2006-08-01,253.2
2006-09-01,252
2006-10-01,248.1
2006-11-01,239.1
2006-12-01,239.4
2007-01-01,245.422
2007-02-01,248.365
2007-03-01,249.249
2007-04-01,248.959
2007-05-01,248.001
2007-06-01,248.319
2007-07-01,249.275
2007-08-01,249.24
2007-09-01,251.882
2007-10-01,257.047
2007-11-01,261.014
2007-12-01,264.299
2008-01-01,266.547
2008-02-01,266.22
2008-03-01,274.246
2008-04-01,274.173
2008-05-01,283.328
2008-06-01,294.645
2008-07-01,300.857
2008-08-01,302.057
2008-09-01,295.708
2008-10-01,284.76
2008-11-01,272.217
2008-12-01,266.716
2009-01-01,263.284
2009-02-01,256.319
