date,price_open,price_high,price_low,price_close,price_adj_close,volume
2024-12-01,96475.83,97835.39,95819.26,97543.63,97543.63,36241367040
2024-11-30,97468.81,97499.34,96144.22,96449.05,96449.05,31634227866
2024-11-29,95653.95,98693.17000000001,95407.88,97461.52,97461.52,54968682476
2024-11-28,95954.95,96650.2,94677.35,95652.47,95652.47,52260008261
2024-11-27,91978.14,97361.18000000001,91778.66,95962.53,95962.53,71133452438
2024-11-26,93087.28,94991.75,90770.81,91985.32,91985.32,91656519855
2024-11-25,98033.45,98935.03,92642.90999999999,93102.3,93102.3,80909462490
2024-11-24,97778.09,98647.18000000001,95788.08,98013.82,98013.82,51712020623
2024-11-23,99006.73999999999,99014.68000000001,97232.89,97777.28,97777.28,44414644677
2024-11-22,98496.43,99655.5,97222.66,98997.66,98997.66,78473580551
2024-11-21,94334.64,99014.22,94132.6,98504.73,98504.73,106024505582
2024-11-20,92341.89,94902.02,91619.5,94339.48999999999,94339.48999999999,71730956426
2024-11-19,90536.81,94002.87000000001,90426.98,92343.79,92343.79,74521048295
2024-11-18,89843.72,92596.79,89393.59,90542.64,90542.64,75535775084
2024-11-17,90558.45999999999,91433.04,88741.66,89845.85,89845.85,46350159305
2024-11-16,91064.37000000001,91763.95,90094.23,90558.48,90558.48,44333192814
2024-11-15,87284.18000000001,91868.73999999999,87124.9,91066.01,91066.01,78243109518
2024-11-14,90574.88,91765.22,86682.81,87250.43,87250.43,87616705248
2024-11-13,87929.97,93434.35,86256.93,90584.16,90584.16,123559027869
2024-11-12,88705.56,89956.88,85155.11,87955.81,87955.81,133673285375
2024-11-11,80471.40999999999,89604.5,80283.25,88701.48,88701.48,117966845037
2024-11-10,76775.55,81474.42,76565.43,80474.19,80474.19,82570594495
2024-11-09,76556.19,76932.77,75773.79,76778.87000000001,76778.87000000001,29009480361
2024-11-08,75902.84,77252.75,75648.73999999999,76545.48,76545.48,55176858003
2024-11-07,75637.09,76943.12000000001,74480.42,75904.86,75904.86,63467654989
2024-11-06,69358.5,76460.16,69322.03,75639.08,75639.08,118592653963
2024-11-05,67811.17000000001,70522.79,67458.87000000001,69359.56,69359.56,46046889204
2024-11-04,68742.13,69433.18000000001,66803.65000000001,67811.51,67811.51,41184819348
2024-11-03,69296.38,69361.66,67482.52,68741.12000000001,68741.12000000001,34868307655
2024-11-02,69486.02,69867.35,69033.72,69289.27,69289.27,18184612091
2024-11-01,70216.9,71559.02,68779.7,69482.47,69482.47,49989795365
2024-10-31,72335.05,72662.31,69590.5,70215.19,70215.19,40627912076
2024-10-30,72715.37000000001,72905.3,71411.73,72339.54,72339.54,40646637831
2024-10-29,69910.05,73577.20999999999,69729.90999999999,72720.48999999999,72720.48999999999,58541874402
2024-10-28,67922.67000000001,70212.27,67535.13,69907.76,69907.76,38799856657
2024-10-27,67023.48,68221.31,66847.23,67929.3,67929.3,16721307878
2024-10-26,66628.73,67317.92,66360.59,67014.7,67014.7,19588098156
2024-10-25,68165.3,68722.16,65521.78999999999,66642.40999999999,66642.40999999999,41469984306
2024-10-24,66653.7,68798.95999999999,66454.1,68161.05,68161.05,31414428647
2024-10-23,67362.38,67402.73999999999,65188.04,66432.2,66432.2,32263980353
2024-10-22,67360.7,67801.58,66581.37000000001,67361.40999999999,67361.40999999999,31808472566
2024-10-21,69002,69462.73,66829.85,67367.85,67367.85,37498611780
2024-10-20,68364.18000000001,69359.01,68105.72,69001.7,69001.7,18975847518
2024-10-19,68418.98,68668.01,68024.64,68362.73,68362.73,14443497908
2024-10-18,67419.11,68969.75,67177.82,68418.79,68418.79,36857165014
2024-10-17,67617.08,67912.20999999999,66647.39,67399.84,67399.84,32790898511
2024-10-16,67042.45999999999,68375.29,66758.73,67612.72,67612.72,38195189534
2024-10-15,66050.37000000001,67881.68000000001,64809.2,67041.11,67041.11,48863870879
2024-10-14,62848.4,66482.48999999999,62442.15,66046.13,66046.13,43706958056
2024-10-13,63192.950000000004,63272.65,62035.64,62851.380000000005,62851.380000000005,18177529690
2024-10-12,62444.619999999995,63448.78999999999,62443.27,63193.02,63193.02,16744110886
2024-10-11,60275.46,63400.87,60046.13,62445.09,62445.09,30327141594
2024-10-10,60581.93,61236.719999999994,58895.21,60274.5,60274.5,30452813570
2024-10-09,62131.729999999996,62508.840000000004,60314.61,60582.1,60582.1,27670982363
2024-10-08,62221.64,63174.3,61843.56,62131.97,62131.97,28134475157
2024-10-07,62819.11,64443.71,62152.55,62236.659999999996,62236.659999999996,34253562610
2024-10-06,62084.99,62959.57,61833.15,62818.950000000004,62818.950000000004,14776233667
2024-10-05,62067.61,62371.02,61689.58,62089.950000000004,62089.950000000004,13305410749
2024-10-04,60754.63,62465.99,60459.94,62067.48,62067.48,29585472513
2024-10-03,60632.48,61469.04,59878.8,60759.4,60759.4,36106447279
2024-10-02,60836.32,62357.689999999995,59996.950000000004,60632.78999999999,60632.78999999999,40762722398
2024-10-01,63335.61,64110.98,60189.28,60837.01,60837.01,50220923500
2024-09-30,65634.66,65635.05,62873.619999999995,63329.5,63329.5,37112957475
2024-09-29,65888.9,66069.34,65450.02,65635.3,65635.3,14788214575
2024-09-28,65792.18000000001,66255.53,65458.04,65887.65000000001,65887.65000000001,15243637984
2024-09-27,65180.659999999996,66480.7,64852.99,65790.66,65790.66,32058813449
2024-09-26,63138.55,65790.8,62669.27,65181.02,65181.02,36873129847
2024-09-25,64302.59,64804.5,62945.380000000005,63143.14,63143.14,25078377700
2024-09-24,63326.840000000004,64695.21,62737.42,64301.97,64301.97,29938335243
2024-09-23,63643.1,64733.56,62628.08,63329.8,63329.8,31400285425
2024-09-22,63396.8,63993.42,62440.729999999996,63648.71,63648.71,20183348802
2024-09-21,63184.340000000004,63543.36,62783.11,63394.840000000004,63394.840000000004,14408616220
2024-09-20,62941.43,64119.53,62364.61,63192.98,63192.98,35177164222
2024-09-19,61651.159999999996,63872.44,61609.87,62940.46,62940.46,42710252573
2024-09-18,60309,61664.07,59218.25,61649.68,61649.68,40990702891
2024-09-17,58192.51,61316.09,57628.07,60308.54,60308.54,38075570118
2024-09-16,59185.229999999996,59205.51,57501.340000000004,58192.51,58192.51,32032822113
2024-09-15,60000.729999999996,60381.92,58696.310000000005,59182.840000000004,59182.840000000004,18120960867
2024-09-14,60569.119999999995,60656.719999999994,59517.880000000005,60005.119999999995,60005.119999999995,16428405496
2024-09-13,58130.32,60648.02,57650.11,60571.3,60571.3,32490528356
2024-09-12,57343.17,58534.36,57330.1,58127.01,58127.01,33835707949
2024-09-11,57650.28999999999,57991.32,55567.340000000004,57343.17,57343.17,37049062672
2024-09-10,57020.1,58029.98,56419.41,57648.71,57648.71,28857630507
2024-09-09,54851.89,58041.13,54598.43,57019.54,57019.54,34618096173
2024-09-08,54147.93,55300.86,53653.759999999995,54841.57,54841.57,18268287531
2024-09-07,53949.09,54838.14,53740.07,54139.689999999995,54139.689999999995,19061486526
2024-09-06,56160.189999999995,56976.11,52598.7,53948.75,53948.75,49361693566
2024-09-05,57971.7,58300.58,55712.450000000004,56160.49,56160.49,31030280656
2024-09-04,57430.350000000006,58511.57,55673.159999999996,57971.54,57971.54,35627680312
2024-09-03,59106.189999999995,59815.06,57425.17,57431.02,57431.02,26666961053
2024-09-02,57326.97,59403.07,57136.03,59112.48,59112.48,27036454524
2024-09-01,58969.8,59062.07,57217.82,57325.49,57325.49,24592449997
2024-08-31,59117.48,59432.59,58768.78999999999,58969.9,58969.9,12403470760
2024-08-30,59388.6,59896.89,57768.53,59119.48,59119.48,32292756405
2024-08-29,59027.47,61184.08,58786.229999999996,59388.18,59388.18,32224990582
2024-08-28,59507.93,60236.450000000004,57890.68,59027.63,59027.63,40289564698
2024-08-27,62879.71,63210.8,58116.75,59504.13,59504.13,39103882198
2024-08-26,64342.229999999996,64489.71,62849.56,62880.659999999996,62880.659999999996,27682040631
2024-08-25,64176.37,64996.42,63833.52,64333.54,64333.54,18827683555
2024-08-24,64103.87,64513.78999999999,63619.92,64178.99,64178.99,21430585163
2024-08-23,60380.950000000004,64947.06,60372.05,64094.36,64094.36,42530509233
2024-08-22,61168.32,61408.11,59815.25,60381.91,60381.91,27625734377
2024-08-21,59014.99,61834.350000000006,58823.450000000004,61175.189999999995,61175.189999999995,32731154072
2024-08-20,59493.450000000004,61396.33,58610.880000000005,59012.78999999999,59012.78999999999,31613400008
2024-08-19,58480.71,59612.659999999996,57864.71,59493.450000000004,59493.450000000004,25911207712
2024-08-18,59468.13,60262.719999999994,58445.4,58483.96,58483.96,17740625837
2024-08-17,58893.53,59694.67,58814.83,59478.97,59478.97,13589684021
2024-08-16,57560.27,59847.36,57110.02,58894.11,58894.11,29350938673
2024-08-15,58733.259999999995,59838.65,56161.59,57560.1,57560.1,35682112440
2024-08-14,60611.05,61687.759999999995,58472.880000000005,58737.27,58737.27,29961696180
2024-08-13,59356.21,61572.4,58506.25,60609.57,60609.57,30327698167
2024-08-12,58719.39,60680.33,57688.9,59354.52,59354.52,37078637820
2024-08-11,60944.89,61778.659999999996,58348.82,58719.48,58719.48,22759754812
2024-08-10,60881.229999999996,61464.51,60287.57,60945.810000000005,60945.810000000005,15745822278
2024-08-09,61728.21,61751.86,59587.86,60880.11,60880.11,33425553115
2024-08-08,55030.03,62673.77,54766.729999999996,61710.14,61710.14,45298472567
2024-08-07,56040.63,57726.880000000005,54620.51,55027.46,55027.46,41637562185
2024-08-06,53991.350000000006,57059.92,53973.27,56034.32,56034.32,49300484106
2024-08-05,58110.3,58268.83,49121.24,53991.46,53991.46,108991085584
2024-08-04,60676.09,61062.99,57210.8,58116.98,58116.98,31758917219
2024-08-03,61414.810000000005,62148.37,59836.53,60680.09,60680.09,31753030589
2024-08-02,65353.5,65523.219999999994,61184.89,61415.07,61415.07,43060875727
2024-08-01,64625.840000000004,65593.23999999999,62248.94,65357.5,65357.5,40975554494
2024-07-31,66201.27,66810.20999999999,64532.05,64619.25,64619.25,31292785994
2024-07-30,66819.05,66987.67000000001,65323.189999999995,66201.02,66201.02,31380492109
2024-07-29,68259.05,69987.54,66532.59,66819.90999999999,66819.90999999999,40780682628
2024-07-28,67808.66,68301.85,67085.83,68255.87000000001,68255.87000000001,18043166945
2024-07-27,67911.81,69398.51,66705.22,67813.34,67813.34,34691905492
2024-07-26,65771.81,68207.6,65743.77,67912.06,67912.06,30488630457
2024-07-25,65375.880000000005,66112.42,63473.47,65777.23,65777.23,38315761670
