institution,state,region,ownership,hbcu,predominetly_black_institution,admission_rate,sat_verbal_first_quartile,sat_verbal_median,sat_verbal_third_quartile,sat_math_first_quartile,sat_math_median,sat_math_third_quartile,online_only,n_students,n_students_white,n_students_black,n_students_hispanic,n_students_asian,n_students_native,share_low_income,avg_cost_attendance,tuition_in_state,tuition_out_of_state,completion_rate,completion_rate_white,completion_rate_black,completion_rate_hispanic,completion_rate_asian,completion_rate_native,load_default_rate_2yr,load_default_rate_3yr,mean_earnings_10yr_after,median_earnings_10yr_after
Alabama A & M University,AL,5,Public,1,0,0.684,430,475,523,400,460,510,In-person,5196,0.0198,0.8955,0.011,0.0019,0.0025,0.6020087884,23167,10024,18634,0.2678,0.2353,0.2665,0.4667,0,0.5,0.114,0,35500,40628
University of Alabama at Birmingham,AL,5,Public,0,0,0.8668,610,637,690,590,644,720,In-person,12776,0.513,0.2528,0.0711,0.0819,0.0016,0.4276131917,26257,8832,21216,0.6442,0.6565,0.574,0.5294,0.8224,0.5455,0.06,0,48400,54501
Amridge University,AL,5,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,Online only,228,0.2851,0.6623,0.0307,0,0.0044,0.7736486486,NA,NA,NA,0.5,1,NA,NA,0,NA,0.071,0,47600,37621
University of Alabama in Huntsville,AL,5,Public,0,0,0.781,613,640,700,613,655,730,In-person,6985,0.7102,0.0873,0.0666,0.0389,0.0087,0.374633738,25777,11878,24770,0.6295,0.6437,0.4815,0.551,0.6939,0.3333,0.077,0,52000,61767
Alabama State University,AL,5,Public,1,0,0.966,429,488,531,399,457,510,In-person,3296,0.0155,0.9251,0.0121,0.0015,0.0021,0.6146166134,21900,11068,19396,0.2773,0.375,0.272,0.25,0.4,0.5,0.132,0,30600,34502
The University of Alabama,AL,5,Public,0,0,0.8006,570,610,690,560,610,720,In-person,31360,0.7336,0.1072,0.0577,0.0146,0.0036,0.261546724,31024,11940,32300,0.7276,0.7475,0.6023,0.6683,0.7191,0.5833,0.066,0,51600,59221
Athens State University,AL,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,2465,0.7574,0.1258,0.0503,0.0049,0.0146,0.4928385417,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067,0,42400,50273
Auburn University at Montgomery,AL,5,Public,0,1,0.9223,510,538,615,500,518,575,In-person,3307,0.4052,0.4584,0.0175,0.0287,0.0024,0.4892262488,19771,9100,19348,0.3584,0.3706,0.3731,0.375,0.4,0.1429,0.09,0,38000,44391
Auburn University,AL,5,Public,0,0,0.4374,610,NA,680,610,NA,700,In-person,25234,0.8269,0.0425,0.0395,0.0279,0.0025,0.2520373683,33650,12176,32960,0.8075,0.8216,0.6905,0.7654,0.8113,0.5714,0.045,0,56300,65337
Birmingham-Southern College,AL,5,Private nonprofit,0,0,0.5717,590,580,670,560,585,610,In-person,968,0.7397,0.1519,0.0558,0.0227,0.001,0.2352941176,35495,21250,21250,0.6463,0.6805,0.4444,0.6667,0.7143,NA,0.085,0,53100,59481
South University-Montgomery,AL,5,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,315,0.2,0.7429,0.0159,0.0063,0,0.6569544875,32195,17014,17014,0.0909,0.1429,0.0769,NA,NA,NA,0.174,0,40200,34421
Faulkner University,AL,5,Private nonprofit,0,1,0.8241,470,550,570,480,548,560,In-person,1587,0.4461,0.4058,0.046,0.0113,0.0032,0.5741789354,36169,23920,23920,0.33,0.4278,0.1412,0.25,0,NA,0.077,0,40700,43457
Herzing University-Birmingham,AL,5,Private nonprofit,0,0,0.9412,NA,NA,NA,NA,NA,NA,In-person,570,0.2807,0.6456,0.0211,0.007,0.0035,0.6933148684,28152,12750,12750,0.3,0.5,0.25,NA,NA,NA,0.117,0,41600,36909
Huntingdon College,AL,5,Private nonprofit,0,0,0.6595,500,535,600,500,490,580,In-person,810,0.6691,0.1914,0.0568,0.0037,0.0049,0.4023668639,39717,28350,28350,0.5018,0.4767,0.5116,0.6429,1,NA,0.078,0,43600,49601
Heritage Christian University,AL,5,Private nonprofit,0,0,1,NA,NA,NA,NA,NA,NA,In-person,72,0.8472,0.0833,0.0556,0,0,PS,17810,11632,11632,0,0,NA,NA,NA,NA,0.133,0,PS,42597
Jacksonville State University,AL,5,Public,0,0,0.7846,480,535,600,460,590,600,In-person,7066,0.6134,0.2591,0.0018,0.0052,0.005,0.4226415094,22153,11952,21912,0.5224,0.5591,0.3667,0.6,0.6667,0.2857,0.077,0,38100,45235
University of West Alabama,AL,5,Public,0,1,0.6886,430,450,470,450,480,510,In-person,2424,0.4439,0.37,0.0297,0.0017,0.0095,0.5456896552,22456,10990,20090,0.3846,0.4115,0.3493,0.2,NA,0,0.064,0,40400,44232
Miles College,AL,5,Private nonprofit,1,0,NA,NA,NA,NA,NA,NA,NA,In-person,1257,0.0318,0.9507,0.0064,0,0,0.7231638418,22653,12714,12714,0.264,0.5,0.2654,0.4,0,NA,0.219,0,29500,32627
University of Mobile,AL,5,Private nonprofit,0,0,0.8408,NA,NA,NA,NA,NA,NA,In-person,1108,0.6363,0.1625,0.019,0.0135,0.0262,0.4047619048,37908,25880,25880,0.4574,0.9747,0.4762,0.3333,0,0,0.024,0,38700,43611
University of Montevallo,AL,5,Public,0,0,0.5984,NA,545,NA,NA,540,NA,In-person,2128,0.6584,0.1706,0.071,0.0038,0.0033,0.3714285714,26185,13710,26730,0.5476,0.5481,0.5614,0.64,0.5,0,0.071,0,36100,42957
University of North Alabama,AL,5,Public,0,0,0.9568,NA,NA,NA,NA,NA,NA,In-person,5408,0.7258,0.1023,0.0459,0.0139,0.0052,0.4009287926,21621,11220,21420,0.523,0.5648,0.3051,0.4545,0.6667,0.7,0.101,0,42800,45415
Oakwood University,AL,5,Private nonprofit,1,0,0.6805,NA,NA,NA,NA,NA,NA,In-person,1378,0.0094,0.7438,0.0943,7e-4,0.0022,0.4322344322,38377,20040,20040,0.4667,0,0.4798,0.36,NA,NA,0.077,0,37400,42488
Samford University,AL,5,Private nonprofit,0,0,0.8326,550,615,650,530,580,620,In-person,3668,0.8506,0.0534,0.0409,0.0144,8e-4,0.2184579439,52514,36725,36725,0.7779,0.7848,0.7021,0.6923,0.5556,NA,0.013,0,59800,58469
Selma University,AL,5,Private nonprofit,1,0,NA,NA,NA,NA,NA,NA,NA,In-person,30,0,1,0,0,0,0.8,NA,4800,4800,NA,NA,NA,NA,NA,NA,0.069,NA,PS,NA
University of South Alabama,AL,5,Public,0,0,0.6536,510,555,600,493,545,600,In-person,8171,0.6036,0.2224,0.0466,0.0405,0.0071,0.4252947481,22667,9116,17732,0.4767,0.5341,0.4514,0.3797,0.5758,0.5333,0.048,0,46800,49379
Spring Hill College,AL,5,Private nonprofit,0,0,0.7263,550,510,620,560,505,610,In-person,932,0.6062,0.1309,0.0944,0.015,0.0086,0.247706422,35488,21732,21732,0.6156,0.6591,0.5238,0.7692,0.4286,NA,0.055,0,51300,51500
Stillman College,AL,5,Private nonprofit,1,0,0.6454,NA,NA,NA,NA,NA,NA,In-person,727,0.0275,0.9519,0.0069,0.0028,0.0028,0.6949740035,25678,11392,11392,0.248,0.7143,0.2222,NA,0,NA,0.149,0,33700,35421
Talladega College,AL,5,Private nonprofit,1,0,NA,NA,NA,NA,NA,NA,NA,In-person,832,0.0144,0.8389,0.0481,0,0.0048,0.6823770492,22267,13866,13866,0.3529,0,0.3168,0.5833,NA,NA,0.212,0,23900,32229
Troy University,AL,5,Public,0,0,0.9484,490,533,590,460,510,560,In-person,10316,0.5303,0.3226,0.0457,0.0062,0.0026,0.4893582453,22005,9312,18624,0.4552,0.5377,0.3669,0.2985,0.5455,0.1667,0.093,0,41100,42062
Tuskegee University,AL,5,Private nonprofit,1,0,0.2969,495,525,620,475,500,595,In-person,2100,0.0062,0.909,0.0186,0.0033,0.0033,0.4152091255,41924,22614,22614,0.6728,0.5,0.7393,0.8,0.5,NA,0.091,0,42200,49641
United States Sports Academy,AL,5,Private nonprofit,0,0,1,NA,NA,NA,NA,NA,NA,Online only,94,0.383,0.2447,0.1383,0,0.0106,0.4929577465,NA,16418,16418,NA,NA,NA,NA,NA,NA,0.038,0,PS,55257
University of Alaska Anchorage,AK,8,Public,0,0,0.6532,NA,NA,NA,NA,NA,NA,In-person,6778,0.4923,0.036,0.1146,0.0937,0.051,0.4450184502,23461,7508,21635,0.2995,0.3423,0.2222,0.2973,0.3404,0.0849,0.082,0,51200,51871
Alaska Bible College,AK,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,31,0.9032,0.0323,0,0,0,PS,19679,10900,10900,0.5,0.3333,NA,1,NA,NA,0,0,NA,NA
University of Alaska Fairbanks,AK,8,Public,0,0,NA,NA,620,NA,NA,615,NA,In-person,4010,0.5332,0.0334,0.096,0.0224,0.1302,0.4166198765,19814,7896,22032,0.3851,0.4769,0.2727,0.2955,0.5714,0.2165,0.089,0.001,45100,48866
University of Alaska Southeast,AK,8,Public,0,0,0.6266,NA,NA,NA,NA,NA,NA,In-person,964,0.5498,0.0073,0.0882,0.0602,0.0954,0.4269005848,17471,6960,21096,0.2458,0.3148,NA,0.4,0.25,0.0909,0.093,0,39500,48475
Alaska Pacific University,AK,8,Private nonprofit,0,0,0.9931,NA,NA,NA,NA,NA,NA,In-person,457,0.3282,0.0481,0.0153,0.0656,0.2757,0.4178082192,36422,20760,20760,0.3611,0.3158,0,0.6667,1,0.75,0.047,0,45300,54271
Charter College,WA,8,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,2117,0.4171,0.0822,0.1866,0.0321,0.1205,0.6753588033,30947,17116,17116,0.5466,0.6078,0.5484,0.5905,0.6667,0.4144,0.108,0,46400,35504
Brookline College-Phoenix,AZ,6,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,841,0.2545,0.126,0.3246,0.0321,0.0702,0.755242227,NA,NA,NA,0.5737,0.5385,0.3125,0.6484,0.6667,0.6364,0.13,0,23700,29576
Arizona State University Campus Immersion,AZ,6,Public,0,0,0.8975,NA,NA,NA,NA,NA,NA,In-person,64778,0.4517,0.0429,0.2596,0.0877,0.0112,0.4241983308,26937,11618,30592,0.669,0.699,0.4923,0.6065,0.7755,0.4602,0.071,0,55500,62668
University of Arizona,AZ,6,Public,0,0,0.8676,570,620,680,570,625,690,In-person,37979,0.4936,0.0414,0.2791,0.0526,0.013,0.3634462932,27682,13275,39577,0.6793,0.6965,0.5567,0.6318,0.7579,0.4483,0.054,0,56000,59979
Embry-Riddle Aeronautical University-Prescott,AZ,6,Private nonprofit,0,0,0.68,580,615,680,590,630,700,In-person,3114,0.5768,0.0186,0.1506,0.061,0.0051,0.3650488547,58036,40464,40464,0.7062,0.7554,0.3333,0.6105,0.7297,0.6667,0.037,0,70300,84131
The School of Architecture,AZ,6,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
Grand Canyon University,AZ,6,Private for-profit,0,0,0.7787,NA,NA,NA,NA,NA,NA,In-person,65147,0.4882,0.1528,0.2335,0.0291,0.0089,0.489019389,31440,17800,17800,0.4505,0.4705,0.4087,0.4321,0.6184,0.2593,0.125,0,58500,42186
Dine College,AZ,6,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,1361,0.0066,0.0015,0.0015,7e-4,0.9831,0.7264021888,14048,1410,1410,0.181,0,NA,NA,NA,0.1826,0,NA,23400,29188
Northern Arizona University,AZ,6,Public,0,0,0.79990000000000006,NA,NA,NA,NA,NA,NA,In-person,23090,0.5574,0.0289,0.2634,0.0306,0.0292,0.3699922058,28648,12274,27536,0.5912,0.6306,0.4151,0.5521,0.7216,0.33,0.082,0,44600,54384
Pima Medical Institute-Tucson,AZ,6,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,2477,0.3242,0.0969,0.4029,0.0521,0.0226,0.6241371287,NA,NA,NA,0.6915,0.7258,0.5455,0.703,0.9231,0.625,0.062,0,30600,38673
Prescott College,AZ,6,Private nonprofit,0,0,0.9838,NA,NA,NA,NA,NA,NA,In-person,313,0.6645,0.0383,0.0447,0.0383,0.0128,0.5217391304,45439,35450,35450,0.5532,0.5667,1,0.5,NA,0.5,0.043,0,34300,42359
Arizona Christian University,AZ,6,Private nonprofit,0,0,0.7014,NA,535,NA,NA,530,NA,In-person,1028,0.4864,0.107,0.2675,0.0126,0.0146,0.4311740891,47865,31650,31650,0.4531,0.5517,0.45,0.35,NA,0,0.05,0,34900,51612
