name,team,nationality_1,jersey_number,position_1,position_2,archetype,height_ft,weight_lb,wingspan_ft,season_salary,years_in_the_nba,birthdate,rating_overall,rating_close_shot,rating_mid_range_shot,rating_three_point_shot,rating_free_throw,rating_shot_iq,rating_speed,rating_agility,rating_strength,rating_stamina,rating_overall_durability,rating_pass_accuracy,rating_ball_handle,rating_pass_iq,rating_group_defense,rating_interior_defense,rating_perimeter_defense,rating_steal,rating_block,rating_offensive_rebound,rating_defensive_rebound,pos,age,gp,w,l,min,pts,fgm,fga,fg_percent,x3pm,x3pa,x3p_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,x
Aaron Gordon,Denver Nuggets,United States,32,PF,NA,2-Way Interior Scorer,"6'8""",235,"7'0""",22841455,11,1995-09-16,84,84,61,71,56,75,71,86,72,95,84,65,62,60,73,80,86,40,56,73,73,PF,27,68,45,23,2055.1,1109,429,761,56.4,60,173,34.7,191,314,60.8,164,282,446,203,98,54,51,129,2166,11,0,518
Aaron Holiday,Houston Rockets,United States,0,PG,SG,Perimeter Shot Creator,"6'0""",185,"6'8""",4668000,7,1996-09-30,73,95,74,82,84,85,76,77,49,85,84,82,86,82,52,34,68,46,35,34,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Nesmith,Indiana Pacers,United States,23,SF,PF,2-Way Catch & Shoot Ace,"6'5""",215,"6'10""",11000000,5,1999-10-16,78,90,86,85,64,70,68,76,52,87,81,69,70,65,63,72,76,43,60,42,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Wiggins,Oklahoma City Thunder,United States,21,PF,SF,Inside-Out Scoring Threat,"6'5""",190,"6'10""",10514017,4,1999-01-02,78,89,68,87,75,70,84,84,45,80,80,68,70,68,56,48,59,66,53,53,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Flagler,Oklahoma City Thunder,United States,14,SG,PG,Catch & Shoot Threat,"6'3""",180,"6'5""",NA,2,1999-12-01,67,77,77,79,81,65,72,70,47,84,87,66,69,62,45,42,57,45,30,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adama Sanogo,Chicago Bulls,Mali,21,C,PF,Rebounder,"6'9""",245,"7'3""",NA,2,2002-02-12,68,72,70,69,72,60,70,68,71,80,80,52,50,50,51,63,40,46,56,70,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adem Bona,Philadelphia 76ers,Nigeria,30,C,NA,Interior Threat,"6'10""",245,"7'0""",NA,1,2003-03-28,69,70,37,27,66,40,82,68,73,84,80,40,52,40,61,70,37,70,67,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Green,Milwaukee Bucks,United States,20,SG,SF,Catch & Shoot Ace,"6'4""",190,"6'7""",2120693,3,1999-09-27,72,60,80,85,90,75,69,69,42,80,80,61,70,68,47,40,63,33,40,33,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AJ Johnson,Milwaukee Bucks,United States,77,SG,PG,Mid-Range Shot Creator,"6'5""",160,"6'9""",2795294,1,2004-12-01,69,74,74,74,75,65,83,79,39,80,80,64,86,63,46,49,56,46,44,57,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Lawson,Dallas Mavericks,Canada,9,SG,SF,Ball Hawk,"6'6""",179,"6'7""",2120693,4,2000-07-15,71,57,68,70,55,85,74,74,34,85,80,62,69,64,56,48,60,83,25,49,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
